"","Temperatura 1 Último (C)","Temperatura 2 Último (C)","Presión Último (bar)"
"00:00:00.000","17,447","128,605","150,470"
"00:00:00.060","17,425","128,634","150,483"
"00:00:00.120","17,442","128,703","150,673"
"00:00:00.180","17,437","128,722","150,746"
"00:00:00.240","17,432","128,742","150,818"
"00:00:00.300","17,426","128,762","150,891"
"00:00:00.360","17,421","128,787","151,014"
"00:00:00.420","17,415","128,811","151,137"
"00:00:00.480","17,409","128,836","151,259"
"00:00:00.540","17,411","128,852","151,379"
"00:00:00.600","17,413","128,868","151,498"
"00:00:00.660","17,415","128,884","151,617"
"00:00:00.720","17,407","128,903","151,738"
"00:00:00.780","17,398","128,923","151,858"
"00:00:00.840","17,390","128,942","151,978"
"00:00:00.900","17,369","128,944","152,079"
"00:00:00.960","17,348","128,945","152,180"
"00:00:01.020","17,326","128,946","152,281"
"00:00:01.080","17,328","128,946","152,350"
"00:00:01.140","17,330","128,946","152,418"
"00:00:01.200","17,332","128,946","152,486"
"00:00:01.260","17,334","128,946","152,554"
"00:00:01.320","17,339","128,944","152,593"
"00:00:01.380","17,344","128,942","152,631"
"00:00:01.440","17,350","128,941","152,670"
"00:00:01.500","17,342","128,954","152,668"
"00:00:01.560","17,335","128,967","152,666"
"00:00:01.620","17,328","128,980","152,665"
"00:00:01.680","17,367","128,944","152,635"
"00:00:01.740","17,405","128,909","152,606"
"00:00:01.800","17,444","128,874","152,577"
"00:00:01.860","17,425","128,880","152,522"
"00:00:01.920","17,405","128,885","152,467"
"00:00:01.980","17,386","128,891","152,412"
"00:00:02.040","17,400","128,897","152,289"
"00:00:02.100","17,415","128,903","152,166"
"00:00:02.160","17,416","128,897","152,053"
"00:00:02.220","17,416","128,891","151,941"
"00:00:02.280","17,417","128,885","151,828"
"00:00:02.340","17,414","128,880","151,700"
"00:00:02.400","17,412","128,874","151,572"
"00:00:02.460","17,409","128,868","151,445"
"00:00:02.520","17,428","128,853","151,317"
"00:00:02.580","17,446","128,838","151,189"
"00:00:02.640","17,465","128,823","151,061"
"00:00:02.700","17,454","128,832","150,961"
"00:00:02.760","17,443","128,841","150,861"
"00:00:02.820","17,432","128,850","150,761"
"00:00:02.880","17,430","128,854","150,681"
"00:00:02.940","17,428","128,858","150,602"
"00:00:03.000","17,426","128,862","150,523"
"00:00:03.060","17,423","128,886","150,501"
"00:00:03.120","17,419","128,910","150,480"
"00:00:03.180","17,415","128,934","150,458"
"00:00:03.240","17,411","128,958","150,437"
"00:00:03.300","17,407","128,982","150,415"
"00:00:03.360","17,412","129,009","150,420"
"00:00:03.420","17,417","129,037","150,425"
"00:00:03.480","17,423","129,064","150,430"
"00:00:03.540","17,423","129,085","150,459"
"00:00:03.600","17,424","129,105","150,489"
"00:00:03.660","17,425","129,125","150,518"
"00:00:03.720","17,408","129,148","150,580"
"00:00:03.780","17,392","129,170","150,643"
"00:00:03.840","17,376","129,192","150,706"
"00:00:03.900","17,389","129,230","150,782"
"00:00:03.960","17,402","129,268","150,859"
"00:00:04.020","17,415","129,306","150,936"
"00:00:04.080","17,382","129,347","151,282"
"00:00:04.140","17,366","129,387","151,421"
"00:00:04.200","17,349","129,426","151,561"
"00:00:04.260","17,332","129,465","151,700"
"00:00:04.320","17,339","129,496","151,805"
"00:00:04.380","17,345","129,527","151,911"
"00:00:04.440","17,351","129,558","152,016"
"00:00:04.500","17,340","129,562","152,130"
"00:00:04.560","17,328","129,566","152,245"
"00:00:04.620","17,317","129,570","152,359"
"00:00:04.680","17,340","129,571","152,409"
"00:00:04.740","17,363","129,572","152,459"
"00:00:04.800","17,386","129,574","152,509"
"00:00:04.860","17,380","129,572","152,532"
"00:00:04.920","17,373","129,570","152,554"
"00:00:04.980","17,367","129,568","152,577"
"00:00:05.040","17,366","129,572","152,575"
"00:00:05.100","17,365","129,577","152,574"
"00:00:05.160","17,363","129,582","152,572"
"00:00:05.220","17,362","129,587","152,571"
"00:00:05.280","17,361","129,591","152,569"
"00:00:05.340","17,358","129,620","152,537"
"00:00:05.400","17,355","129,649","152,504"
"00:00:05.460","17,351","129,678","152,472"
"00:00:05.520","17,342","129,705","152,422"
"00:00:05.580","17,333","129,733","152,373"
"00:00:05.640","17,325","129,760","152,324"
"00:00:05.700","17,351","129,745","152,233"
"00:00:05.760","17,378","129,729","152,142"
"00:00:05.820","17,405","129,713","152,051"
"00:00:05.880","17,415","129,682","151,945"
"00:00:05.940","17,425","129,650","151,839"
"00:00:06.000","17,434","129,619","151,733"
"00:00:06.060","17,424","129,562","151,549"
"00:00:06.120","17,413","129,505","151,364"
"00:00:06.180","17,409","129,494","151,259"
"00:00:06.240","17,405","129,482","151,154"
"00:00:06.300","17,401","129,471","151,049"
"00:00:06.360","17,408","129,414","150,963"
"00:00:06.420","17,416","129,357","150,877"
"00:00:06.480","17,423","129,300","150,791"
"00:00:06.540","17,423","129,258","150,724"
"00:00:06.600","17,423","129,215","150,657"
"00:00:06.660","17,423","129,172","150,590"
"00:00:06.720","17,406","129,151","150,556"
"00:00:06.780","17,389","129,129","150,522"
"00:00:06.840","17,373","129,108","150,488"
"00:00:06.900","17,398","129,091","150,504"
"00:00:06.960","17,423","129,075","150,519"
"00:00:07.020","17,448","129,058","150,535"
"00:00:07.080","17,437","129,045","150,562"
"00:00:07.140","17,427","129,032","150,589"
"00:00:07.200","17,417","129,019","150,616"
"00:00:07.260","17,407","129,005","150,643"
"00:00:07.320","17,398","129,003","150,712"
"00:00:07.380","17,388","129,000","150,782"
"00:00:07.440","17,378","128,998","150,851"
"00:00:07.500","17,412","128,999","150,952"
"00:00:07.560","17,446","129,000","151,053"
"00:00:07.620","17,480","129,001","151,154"
"00:00:07.680","17,439","129,017","151,269"
"00:00:07.740","17,397","129,032","151,385"
"00:00:07.800","17,355","129,047","151,500"
"00:00:07.860","17,355","129,085","151,608"
"00:00:07.920","17,355","129,124","151,717"
"00:00:07.980","17,355","129,163","151,825"
"00:00:08.040","17,351","129,204","151,979"
"00:00:08.100","17,348","129,245","152,133"
"00:00:08.160","17,339","129,279","152,250"
"00:00:08.220","17,331","129,313","152,367"
